Cruise  Cruise_ID_2  Leg  Cast  Day_local  Month_local  Year_local  Latitude  Longitude  
1       CAR-001      2    2     8          11           1995        10.485    -64.673    
2       CAR-002      1    2     13         12           1995        10.491    -64.658    
3       CAR-003      1    3     12         1            1996        10.489    -64.671    
4       CAR-004      1    4     13         2            1996        10.491    -64.668    
5       CAR-005      1    4     13         3            1996        10.5      -64.66     
6       CAR-006      1    4     16         4            1996        10.509    -64.67     
7       CAR-007      2    3     9          5            1996        10.493    -64.667    
8       CAR-008      1    3     12         6            1996        10.484    -64.664    
9       CAR-009      2    4     10         7            1996        10.506    -64.676    
10      CAR-010      1    4     6          8            1996        10.501    -64.668    
11      CAR-011      1    4     10         9            1996        10.5      -64.66     
12      CAR-012      1    4     9          10           1996        10.5      -64.667    
13      CAR-013      3    4     10         11           1996        10.5      -64.66     
14      CAR-014      1    4     11         12           1996        10.498    -64.668    
15      CAR-015      1    4     7          1            1997        10.492    -64.667    
16      CAR-016      1    4     13         2            1997        10.498    -64.669    
17      CAR-017      1    6     13         3            1997        10.498    -64.669    
18      CAR-018      1    4     15         4            1997        10.498    -64.668    
19      CAR-019      2    4     10         5            1997        10.502    -64.671    
20      CAR-020      1    4     17         6            1997        10.498    -64.668    
21      CAR-021      1    4     8          7            1997        10.499    -64.67     
23      CAR-023      1    4     17         9            1997        10.5      -64.67     
24      CAR-024      1    4     14         10           1997        10.499    -64.666    
25      CAR-025      2    4     13         11           1997        10.499    -64.668    
26      CAR-026      1    4     17         12           1997        10.499    -64.667    
27      CAR-027      1    4     14         1            1998        10.5      -64.667    
28      CAR-028      1    4     11         2            1998        10.5      -64.658    
29      CAR-029      2    4     12         3            1998        10.498    -64.666    
31      CAR-031      2    4     9          6            1998        10.4996   -64.668    
32      CAR-032      2    4     9          7            1998        10.501    -64.667    
33      CAR-033      1    4     5          8            1998        10.501    -64.667    
34      CAR-034      1    4     1          9            1998        10.503    -64.667    
35      CAR-035      1    4     14         10           1998        10.5      -64.669    
37      CAR-037      1    4     16         12           1998        10.495    -64.669    
38      CAR-038      1    4     12         1            1999        10.499    -64.668    
39      CAR-039      1    4     10         2            1999        10.496    -64.675    
40      CAR-040      1    4     4          3            1999        10.499    -64.669    
41      CAR-041      1    4     7          4            1999        10.499    -64.665    
42      CAR-042      2    4     6          5            1999        10.497    -64.666    
43      CAR-043      1    4     8          6            1999        10.5      -64.668    
44      CAR-044      1    4     15         7            1999        10.499    -64.669    
45      CAR-045      1    4     11         8            1999        10.501    -64.666    
46      CAR-046      1    4     14         9            1999        10.497    -64.67     
47      CAR-047      1    4     5          10           1999        10.501    -64.666    
48      CAR-048      2    4     4          11           1999        10.499    -64.671    
49      CAR-049      1    4     7          12           1999        10.498    -64.67     
50      CAR-050      1    4     11         1            2000        10.499    -64.671    
51      CAR-051      1    4     8          2            2000        10.496    -64.67     
52      CAR-052      1    4     9          3            2000        10.5      -64.668    
53      CAR-053      1    4     11         4            2000        10.495    -64.667    
54      CAR-054      3    4     11         5            2000        10.501    -64.665    
55      CAR-055      1    4     6          6            2000        10.497    -64.678    
56      CAR-056      1    4     7          7            2000        10.499    -64.671    
59      CAR-059      1    4     10         10           2000        10.498    -64.668    
60      CAR-060      3    4     3          11           2000        10.499    -64.663    
61      CAR-061      1    4     5          12           2000        10.499    -64.667    
62      CAR-062      1    4     11         1            2001        10.496    -64.667    
63      CAR-063      1    4     16         2            2001        10.501    -64.668    
64      CAR-064      1    4     14         3            2001        10.502    -64.679    
65      CAR-065      1    4     4          4            2001        10.504    -64.675    
66      CAR-066      3    4     5          5            2001        10.498    -64.666    
67      CAR-067      1    4     12         6            2001        10.499    -64.668    
68      CAR-068      1    4     10         7            2001        10.498    -64.667    
69      CAR-069      1    4     7          8            2001        10.499    -64.671    
70      CAR-070      1    4     12         9            2001        10.499    -64.665    
71      CAR-071      1    4     9          10           2001        10.5      -64.669    
72      CAR-072      1    4     6          11           2001        10.499    -64.667    
