Cruise,Cruise_ID_2,Year_local,Month_local,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
1,CAR-001,1995,11,17.5,19,14,33,43.10100000000001,52.7835,10.626000000000001,0.085,179.3845
2,CAR-002,1995,12,124,172,166,55,57,48,27,15,622
3,CAR-003,1996,1,540.93,543.89,509.71500000000003,427.60699999999997,479.02199999999993,532.8050000000001,427.89899999999994,477.98750000000007,3035.8745000000004
4,CAR-004,1996,2,325.46,462.85,481.699,226.30499999999998,345.2396,350.22059999999993,96.45280000000001,131.8278,2193.7646299999997
5,CAR-005,1996,3,605.7499999999999,1644.24,743.0889999999999,1.6209999999999998,1.6661,13.5365,2.5272,0.0317,3012.984807
6,CAR-006,1996,4,226.42000000000002,80.660000000000025,210.44799999999995,300.94399999999996,283.7047,7.8994,23.3123,1.9472,1110.8098000000002
7,CAR-007,1996,5,281.28000000000003,534.49,520.4019999999999,284.77400000000006,397.0751,0,8.121400000000001,0.5,2020.23162
8,CAR-008,1996,6,27.6,35.269999999999996,30.275,12.087000000000003,75.5506,10,9.8525,1.4932,190.872075
9,CAR-009,1996,7,4.3,4.220000000000001,3.873,2.035,0.7827,1.2602,3.9971,1.6732,16.51848
10,CAR-010,1996,8,17.17,56.11000000000001,10.527000000000001,4.564,1.783,1.7477,1.9400000000000002,11.52,91.94735000000001
11,CAR-011,1996,9,9.969999999999999,3.2,3.25,0,0.5,0.19,0,3.315,17.121250000000003
12,CAR-012,1996,10,14.740000000000002,8.14,7.035,3.2920000000000003,3.4385,5.0177,3.5777,0.19,41.753048
13,CAR-013,1996,11,0.7,6.85,3.4699999999999998,225.52899999999997,10.2186,0.09,0.0625,0.6139,246.921108
14,CAR-014,1996,12,20.98,24.37,22.252000000000002,5.15,1.7628,1.3814,0.8178,0,75.93655000000001
15,CAR-015,1997,1,371.91,544.85,318.1790000000001,187.36999999999992,0.95,1.4749999999999999,0.2925,0.125,1427.6244800000002
