Cruise,Cruise_ID_2,Year_local,Month_local,ScientificName_accepted,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
1,CAR-001,1995,11,Bacteriastrum delicatulum,0,0,0,0,2.0845,0,0,0,2.0845
1,CAR-001,1995,11,Bacteriastrum sp.,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Cerataulina pelagica,0,0,0,0,0.432,0,0.9065,0,0.432
1,CAR-001,1995,11,Chaetoceros affinis,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Chaetoceros compressus,1.5,1.5,0,2.5,0,0,0,0,5.5
1,CAR-001,1995,11,Chaetoceros decipiens,0,0,0,0,1.757,1.166,0.5425,0,2.923
1,CAR-001,1995,11,Chaetoceros didymus,0,0,1.5,0,0,0,0.273,0,1.5
1,CAR-001,1995,11,Chaetoceros lorenzianus,0.5,0.5,0,0,0,0,0,0,1
1,CAR-001,1995,11,Chaetoceros sp.,0,0,0,0,0,9.649000000000001,0.766,0,9.649000000000001
1,CAR-001,1995,11,Cylindrotheca closterium,0,0,0,0,0.383,1.532,1.532,0,1.915
1,CAR-001,1995,11,Dactyliosolen fragilissimus,1,3,0,1,1.277,0.4275,0,0,6.7045
1,CAR-001,1995,11,Eucampia zodiacus,0,0,1,0,0,0,0,0,1
1,CAR-001,1995,11,Guinardia delicatula,1.5,0,0,6.5,0.8075,0,0.1425,0,8.8075
1,CAR-001,1995,11,Guinardia flaccida,0,0,0,0,0,0.095,0,0,0.095
1,CAR-001,1995,11,Guinardia striata,0.5,0,0,0.5,1.149,6.398,0.19,0,8.547
1,CAR-001,1995,11,Haslea wawrikae,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Helicotheca tamesis,0,0,0,0,0,0,0.0475,0,0
1,CAR-001,1995,11,Hemiaulus hauckii,0,1.5,0,1,1.532,0,0,0,4.032
1,CAR-001,1995,11,Hemiaulus sinensis,0,0.5,0,0,0,0.698,0,0,1.198
1,CAR-001,1995,11,Lauderia annulata,0,0,0,0,0,0,0,0.029,0
1,CAR-001,1995,11,Leptocylindrus danicus,1.5,1.5,0.5,4.5,7.405,0.57,1.5675,0,15.975
1,CAR-001,1995,11,Leptocylindrus mediterraneus,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Leptocylindrus minimus,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Navicula sp.,8,3.5,5,11.5,0.4305,7.042,0.766,0,35.4725
1,CAR-001,1995,11,Nitzschia fluminensis,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Nitzschia longissima,0.5,4.5,0.5,3.5,0,0,0,0,9
1,CAR-001,1995,11,Proboscia alata,1,2,2,1,0,0,0,0,6
1,CAR-001,1995,11,Pseudo-nitzschia pungens,0,0,0,0,0,0,0,0,0
1,CAR-001,1995,11,Pseudo-nitzschia seriata,0,0,0,0,18.767,9.958,0,0,28.725
1,CAR-001,1995,11,Pseudo-nitzschia sp.,0,0,0,0,0.6385,1.532,0,0,2.1705
1,CAR-001,1995,11,Rhizosolenia setigera,1.5,0.5,3.5,0,0,0.106,0.1425,0,5.606
