Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
1,CAR-001,11,1995,Bacillariophyceae,59,72.5,21.625,75,52.218500000000006,88.61850000000001,34.246,0.522,368.9624999999999
1,CAR-001,11,1995,Coccolithophyceae,0,0.5,0.5,0,4.646999999999999,0.6915,0.1185,0,6.338499999999999
1,CAR-001,11,1995,Dinophyceae,3.5,8,9.5,3,4.382499999999999,0.095,0.091,0,28.4775
2,CAR-002,12,1995,Bacillariophyceae,295,345,279,128,107,69,46,21,1223
2,CAR-002,12,1995,Coccolithophyceae,0,0,0,0,0,0,0,0,0
2,CAR-002,12,1995,Dinophyceae,103,72,75,43,245,17,5,8,555
3,CAR-003,1,1996,Bacillariophyceae,771.92,938.1299999999999,900.865,726.8199999999998,792.382,874.2009999999999,594.5055,712.579,5007.2
3,CAR-003,1,1996,Coccolithophyceae,19.08,11.36,13.635,19.119999999999997,36.167,18.441,23.894,12.331,117.826
3,CAR-003,1,1996,Dinophyceae,34.83,6.99,8.5,17.896,44.902,11.353499999999999,24.224,15.973500000000001,124.50250000000001
4,CAR-004,2,1996,Bacillariophyceae,499.1499999999999,675.9200000000002,676.3890000000001,390.938,496.3901000000001,575.4643000000001,237.05169999999998,184.495,3317.2910169999996
4,CAR-004,2,1996,Coccolithophyceae,27.320000000000004,20.65,17.717,6.813000000000001,8.4922,1,1.2745,2.7665999999999995,82.17882999999999
4,CAR-004,2,1996,Dinophyceae,2.55,9.360000000000001,1.674,6.956,6.7837,4.7177,3.8752,1.4895999999999998,32.127939999999995
5,CAR-005,3,1996,Bacillariophyceae,665.6699999999998,1833.22,896.993,4.974,1.8085,13.5562,2.8596,0.2139,3419.4788649999996
5,CAR-005,3,1996,Coccolithophyceae,96.85999999999999,133.3,58.05,1.436,0,0,0.383,0,289.978933
5,CAR-005,3,1996,Dinophyceae,2.66,4.38,3.154,0.101,0.1595,0,0.4305,0.0952,10.47542
6,CAR-006,4,1996,Bacillariophyceae,279.58,111.46000000000004,227.13699999999992,339.926,303.9899000000001,9.0917,23.5497,2.4869,1272.0804000000003
6,CAR-006,4,1996,Coccolithophyceae,5.83,2.21,5.542,2.154,8.7392,0,0,0,24.5018
6,CAR-006,4,1996,Dinophyceae,2.19,4.99,3.383,0.733,1.3584999999999998,0.302,0,0.0317,13.0225
7,CAR-007,5,1996,Bacillariophyceae,379.9200000000001,637.4,566.606,624.9920000000001,450.98839999999996,0,9.2548,1.1277,2662.561819999999
7,CAR-007,5,1996,Coccolithophyceae,7.52,56.199999999999996,38.83,13.647,5.7767,0,3.3157,7.095,122.009
7,CAR-007,5,1996,Dinophyceae,4.43,1.6,1.645,3.8520000000000003,1.8116,0,0.5847,0.9525,13.373379999999997
8,CAR-008,6,1996,Bacillariophyceae,31.349999999999994,44.94,36.42999999999999,15.844000000000001,78.5081,15.059999999999999,12.6839,1.4932,222.24206500000003
8,CAR-008,6,1996,Coccolithophyceae,13.7,41.220000000000006,19.85,16.07,51.339999999999996,15.73,10.195,0,157.9845
8,CAR-008,6,1996,Dinophyceae,4.69,6.389999999999998,4.558000000000001,3.732,0.18,0.43,0.5429999999999999,0.0532,20.042279999999995
9,CAR-009,7,1996,Bacillariophyceae,4.5699999999999985,4.82,5.052999999999999,2.555,0.8227,2.2504000000000004,4.327100000000001,1.6932,20.124979999999997
9,CAR-009,7,1996,Coccolithophyceae,24.6,23.6,118.3,36,10.939,8.7432,5.3852,4.5,222.29725000000002
9,CAR-009,7,1996,Dinophyceae,4.08,1.07,0.714,0.175,0.3,0.02,0.08,0,6.38725
10,CAR-010,8,1996,Bacillariophyceae,20.17,68.88,12.027000000000001,5.164,4.443,2.8939,4.134999999999999,26.021499999999996,113.62435000000002
10,CAR-010,8,1996,Coccolithophyceae,9.36,100.92,17,24.18,5.99,12.185,8.98,11.67,169.63500000000002
10,CAR-010,8,1996,Dinophyceae,0.25,3.3499999999999996,4.054,0.387,0.38,0.08,4.43,1.1600000000000001,8.511499999999998
11,CAR-011,9,1996,Bacillariophyceae,9.969999999999999,3.2,3.3810000000000002,0,0.7725,0.19,0.5700000000000001,4.0649999999999995,17.525240000000004
11,CAR-011,9,1996,Coccolithophyceae,13.8,121,19.89,8.982,7.5675,11.98,0.19,0.25,184.105
11,CAR-011,9,1996,Dinophyceae,0.19,0.95,0.109,0.02,0,0,0,0,1.27
12,CAR-012,10,1996,Bacillariophyceae,25.83,13.809999999999999,9.139999999999997,5.644,11.6184,57.33250000000001,3.8406000000000002,0.19,123.50638600000002
12,CAR-012,10,1996,Coccolithophyceae,6.4,5.8,4.94,1.25,4.56,2.28,0,1.33,25.23
12,CAR-012,10,1996,Dinophyceae,1.27,0.69,3.643,4.210000000000001,3.1828,0.02,0,0,13.038574099999996
13,CAR-013,11,1996,Bacillariophyceae,0.7,16.810000000000002,4.167,266.624,11.8239,1.04,0.0625,2.1139,301.234413
13,CAR-013,11,1996,Coccolithophyceae,17.6,31.66,11.42,7.134,26.565,3.6,2.06,0.76,98.0265
13,CAR-013,11,1996,Dinophyceae,0.4,0.44000000000000006,1.3130000000000002,5.366,0.0825,0.055,0.3175,0,7.7187
14,CAR-014,12,1996,Bacillariophyceae,31.68,30.68,27.788,7.142999999999999,1.7628,1.7027999999999999,0.8178,0.25,100.83192999999999
14,CAR-014,12,1996,Coccolithophyceae,10.7,9.129999999999999,9.992,17.1,4.25,1.33,0.5,0.4225,52.555
14,CAR-014,12,1996,Dinophyceae,1.08,1.2,0.406,0.632,0.9125,0,0.7775,0.5,4.235240000000001
15,CAR-015,1,1997,Bacillariophyceae,682.8000000000001,959.87,688.241,406.5030000000001,2.5324999999999998,6.389599999999999,0.5225,0.395,2750.6370680000005
15,CAR-015,1,1997,Coccolithophyceae,32,70,0,18.46,2.44,0.76,0.19,3.4448,123.662
15,CAR-015,1,1997,Dinophyceae,0.95,0.5,6.502,3.424,0.0275,0,0.42000000000000004,0.0275,11.421499999999998
16,CAR-016,2,1997,Bacillariophyceae,128.85,133.79999999999998,76.05700000000002,80.90700000000002,4.5143,2.318,0.6500000000000001,3.1824999999999997,427.05214500000005
16,CAR-016,2,1997,Coccolithophyceae,4,1.9,3.53,3.926,1.14,1,0.57,0.19,15.4975
16,CAR-016,2,1997,Dinophyceae,5.059999999999999,13.88,1.5989999999999998,2.5389999999999997,0.37750000000000006,0.8152,0.02,0.05,24.32535
17,CAR-017,3,1997,Bacillariophyceae,925.6900000000002,258.99999999999994,780.4470000000002,113.396,12.3208,43.892399999999995,3.5973999999999995,0.8340000000000001,2136.36922
17,CAR-017,3,1997,Coccolithophyceae,2.5,2.5,13.975,6.815,4,7.1346,2,0,36.9246
17,CAR-017,3,1997,Dinophyceae,5.53,80.21,4.734,1.422,0.0625,0,1.5762,0,91.97385000000001
