AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
115083,https://www.marinespecies.org/aphia.php?p=taxdetails&id=115083,Acanthoica,"Lohmann, 1903",accepted,NA,180,Genus,115083,Acanthoica,"Lohmann, 1903",115068,Chromista,Haptophyta,Coccolithophyceae,Syracosphaerales,Rhabdosphaeraceae,Acanthoica,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acanthoica Lohmann, 1903. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=115083 on 2023-06-09",urn:lsid:marinespecies.org:taxname:115083,1,NA,NA,NA,NA,exact,2011-06-07T08:05:59.893Z
162544,https://www.marinespecies.org/aphia.php?p=taxdetails&id=162544,Gymnodinium sanguineum,"K.Hirasaka, 1922",unaccepted,synonym,220,Species,232546,Akashiwo sanguinea,"(K.Hirasaka) Gert Hansen & Moestrup, 2000",109475,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium sanguineum K.Hirasaka, 1922. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=162544 on 2023-06-09",urn:lsid:marinespecies.org:taxname:162544,1,NA,0,0,NA,exact,2015-06-26T12:00:51.270Z
233420,https://www.marinespecies.org/aphia.php?p=taxdetails&id=233420,Alexandrium cohorticula,"(Balech) Balech, 1985",accepted,NA,220,Species,233420,Alexandrium cohorticula,"(Balech) Balech, 1985",109470,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium cohorticula (Balech) Balech, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233420 on 2023-06-09",urn:lsid:marinespecies.org:taxname:233420,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
231875,https://www.marinespecies.org/aphia.php?p=taxdetails&id=231875,Alexandrium monilatum,"(J.F.Howell) Balech, 1995",accepted,NA,220,Species,231875,Alexandrium monilatum,"(J.F.Howell) Balech, 1995",109470,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium monilatum (J.F.Howell) Balech, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=231875 on 2023-06-09",urn:lsid:marinespecies.org:taxname:231875,1,NA,0,0,NA,exact,2015-06-26T12:00:51.270Z
109470,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109470,Alexandrium,"Halim, 1960",accepted,NA,180,Genus,109470,Alexandrium,"Halim, 1960",109431,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium Halim, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109470 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109470,1,NA,NA,NA,NA,exact,2018-11-16T08:36:34.367Z
109714,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109714,Alexandrium tamarense,"(Lebour) Balech, 1995",accepted,NA,220,Species,109714,Alexandrium tamarense,"(Lebour) Balech, 1995",109470,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium tamarense (Lebour) Balech, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109714 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109714,1,NA,NA,NA,NA,exact,2019-07-15T06:34:10.497Z
235989,https://www.marinespecies.org/aphia.php?p=taxdetails&id=235989,Anthosphaera robusta,"(Lohmann) Kamptner, 1941",unaccepted,NA,220,Species,235913,Algirosphaera robusta,"(Lohmann) R.E.Norris, 1984",115076,Chromista,Haptophyta,Coccolithophyceae,Coccolithales,Calyptrosphaeraceae,Anthosphaera,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anthosphaera robusta (Lohmann) Kamptner, 1941. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235989 on 2023-06-09",urn:lsid:marinespecies.org:taxname:235989,NA,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
650636,https://www.marinespecies.org/aphia.php?p=taxdetails&id=650636,Amphidinium schroederi,"J.Schiller, 1928",accepted,NA,220,Species,650636,Amphidinium schroederi,"J.Schiller, 1928",109473,Chromista,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidinium schroederi J.Schiller, 1928. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=650636 on 2023-06-09",urn:lsid:marinespecies.org:taxname:650636,1,NA,NA,NA,NA,exact,2023-02-23T06:16:13.833Z
109473,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109473,Amphidinium,"Claperède & Lachmann, 1859",accepted,NA,180,Genus,109473,Amphidinium,"Claperède & Lachmann, 1859",1308689,Chromista,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidinium Claperède & Lachmann, 1859. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109473 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109473,1,1,1,NA,NA,exact,2019-08-28T06:54:14.007Z
149200,https://www.marinespecies.org/aphia.php?p=taxdetails&id=149200,Amphora,"C.G. Ehrenberg ex F.T. Kützing, 1844",accepted,NA,180,Genus,149200,Amphora,"C.G. Ehrenberg ex F.T. Kützing, 1844",149199,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2023). DiatomBase. Amphora C.G. Ehrenberg ex F.T. Kützing, 1844. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149200 on 2023-06-09",urn:lsid:marinespecies.org:taxname:149200,1,1,1,NA,0,exact,2018-06-20T15:50:50.390Z
