Cruise_ID,depth,NH4_USF,NO2_USF,NO3_NO2_USF,PO4_USF,SiO4_USF,pH,Alkalinity_umol_kg,TCO2,Salinity_bottles,Temperature,POC_ug_kg,PON_ug_kg,TPP,DOC,PrimaryProductivity,Chlorophyll
CAR-001,1,NA,NA,NA,NA,NA,NA,NA,NA,36.576,27.49,NA,NA,NA,134.8,NA,0.0940762
CAR-001,7,NA,NA,NA,NA,NA,NA,2408.86,NA,36.577,27.5,NA,NA,NA,88.3,NA,0.0746952
CAR-002,1,NA,NA,NA,NA,NA,8.05972,2412.92,2079.5,NA,25.39,59.74,12.01,NA,NA,1.65551,0.12
CAR-002,7,NA,NA,NA,NA,NA,8.05385,2407.21,2078,NA,25.4,63.025,12.435,NA,NA,1.1149,0.15
CAR-003,1,NA,NA,NA,NA,NA,8.0603,2427.98,2091.8,36.922,24.48,395.02,46.63,NA,109.3,16.2534,1.4
CAR-003,7,NA,NA,NA,NA,NA,8.061,2426,2089.5,36.9195,24.02,112.3,14.5125,NA,106,11.795,1.37
CAR-004,1,NA,NA,NA,NA,NA,8.06898,2448.38,2104.6,36.913,24.05,384.04,44.88,NA,74.3,12.6631,0.6842
CAR-004,7,NA,NA,NA,NA,NA,8.11785,2447.11,2070.6,36.918,23.58,379.71,47.3,NA,79,6.90791,0.96
CAR-005,1,NA,NA,NA,NA,NA,NA,2440.9,NA,36.868,22.8689,753.38,74.29,NA,NA,16.7385,3.21
CAR-005,7,NA,NA,NA,NA,NA,NA,2415.18,NA,36.8755,22.6256,627.77,63.1,NA,NA,14.0344,2.79924
CAR-006,1,NA,NA,NA,NA,NA,7.99213,2425.03,2131.8,36.871,22.9987,368.7,40.2,NA,95.3,4.28139,2.5981
CAR-006,7,NA,NA,NA,NA,NA,8.01426,2415.95,2110.2,36.865,22.4959,365.5,38.9,NA,81.2,5.51907,4.21143
CAR-007,1,NA,NA,NA,NA,NA,8.04824,2426.16,2098.7,36.822,23.1888,515.4,58.2,NA,NA,65.445,6.44076
CAR-007,7,NA,NA,NA,NA,NA,8.05147,2425.79,2096.2,36.826,22.8421,423.1,53.1,NA,NA,42.4273,5.80381
CAR-008,1,NA,NA,NA,NA,NA,8.11733,2427.1,2053.2,36.919,25.43,342,41,NA,92.6,3.46678,0.3
CAR-008,7,NA,NA,NA,NA,NA,8.11606,2439.72,2065.3,36.916,24.74,542.2,60.8,NA,83,3.7655,0.35
CAR-009,1,NA,NA,NA,NA,NA,8.0842,2421,2070.5,36.841,27.67,148.67,20.01,NA,78.4,1.83276,0.207219
CAR-009,7,NA,NA,NA,NA,NA,8.0785,2426.52,2079.3,36.834,26.59,162.07,20.19,NA,81.4,2.15859,0.19821
CAR-010,1,NA,NA,NA,NA,NA,8.0689,2424.88,2083.7,36.898,26.25,64.8372,8.87442,NA,NA,1.64995,0.155257
CAR-010,7,NA,NA,NA,NA,NA,8.0706,2423.27,2081.1,36.891,25.06,65.0791,10.4372,NA,NA,1.50602,0.14719
CAR-011,1,NA,NA,NA,NA,NA,8.114,2404.14,2039.6,36.358,29.102,31.925,4.02,NA,90.4,2.1364,0.168771
CAR-011,7,NA,NA,NA,NA,NA,8.112,2399.04,2035.9,36.421,28.8944,28.48,4.115,NA,86.6,1.75039,0.178724
CAR-012,1,NA,NA,NA,NA,NA,NA,NA,NA,36.5472,27.5358,156.125,23.55,NA,NA,1.67,0.19
CAR-012,7,NA,NA,NA,NA,NA,NA,NA,NA,36.5842,27.0124,125.385,19.905,NA,NA,2.60725,0.2
CAR-013,1,NA,NA,NA,NA,NA,8.0723,2420.21,2079.2,36.656,26.3162,159.25,27.01,NA,NA,1.50794,0.3
CAR-013,7,NA,NA,NA,NA,NA,8.0707,2417.77,2077.9,36.671,25.7131,130.25,18.785,NA,NA,2.9256,0.27
CAR-014,1,NA,NA,NA,NA,NA,8.0808,2415.08,2069,36.6507,26.501,64.47,11.215,NA,75.4,1.19045,0.21
CAR-014,7,NA,NA,NA,NA,NA,8.0815,2418,2071.2,36.6463,26.4403,70.715,10.75,NA,109.1,1.16279,0.19
CAR-015,1,NA,NA,NA,NA,NA,8.0762,2387,2045.1,36.857,24.1903,343.6,44.44,NA,158.4,39.5542,4.99
CAR-015,7,NA,NA,NA,NA,NA,8.0583,2389,2058.4,36.858,24.1116,318.58,46.035,NA,19183,26.3292,5.65
CAR-016,1,NA,NA,NA,NA,NA,8.0486,2436.1,2106.5,36.934,23.92,173.225,25.105,NA,2234,10.343,1.188
CAR-016,7,NA,NA,NA,NA,NA,8.051,2437.06,2106,36.914,23.8,184.995,29.01,NA,128.4,5.84138,1.0141
CAR-017,1,NA,NA,NA,NA,NA,8.0841,2423,2073.2,36.757,22.4647,468.148,51.9738,NA,185.9,12.0828,2
CAR-017,7,NA,NA,NA,NA,NA,8.0766,2424.95,2079.8,36.743,21.523,593.026,62.6435,NA,130.3,5.55587,1.83
CAR-018,1,NA,NA,NA,NA,NA,8.0393,2400,2080.2,36.872,23.227,349.38,41.9133,NA,99.1,13.1536,2.86
CAR-018,7,NA,NA,NA,NA,NA,8.0406,2388.66,2069.1,36.872,22.9965,317.107,40.0467,NA,105.3,13.7155,3.05
CAR-019,1,NA,NA,NA,NA,NA,8.072,2387,2048.2,36.797,24.3277,234.24,26.29,NA,76,6.98667,1.5
CAR-019,7,NA,NA,NA,NA,NA,8.0675,2395.9,2059.1,36.794,23.908,266.415,47.155,NA,81.5,14.3746,1.74
CAR-020,1,NA,NA,NA,NA,NA,8.0667,NA,NA,36.964,25.2254,89.015,11.25,NA,NA,0.880689,0.3
CAR-020,7,NA,NA,NA,NA,NA,8.0667,NA,NA,36.964,25.206,92.12,11.81,NA,NA,3.00229,0.27
CAR-021,1,NA,NA,NA,NA,NA,8.0806,2416.95,2068.1,36.978,24.9657,188.81,18.27,NA,NA,2.77428,0.32
CAR-021,7,NA,NA,NA,NA,NA,8.0884,2412.47,2059.1,36.973,23.9646,257.78,20.7,NA,NA,4.35591,0.42
CAR-022,1,NA,NA,NA,NA,NA,8.0538,2414.6,2084.4,36.82,24.5991,82.81,13.8,NA,99.11,1.67579,0.2
CAR-022,7,NA,NA,NA,NA,NA,8.0538,2413.2,2083.4,36.823,23.7348,101.9,17.805,NA,70.26,2.81061,0.2
CAR-023,1,0.03,0.02,0.05,0.05,1.21,8.1012,NA,NA,36.561,28.7101,62.2896,8.81395,NA,101.2,0.791449,0.11
CAR-023,7,0.02,0.02,0,0.04,1.16,8.0941,2397.79,2045.7,36.549,27.7542,54.8293,7.6643,NA,88.98,0.737767,0.1
CAR-024,1,NA,NA,NA,NA,NA,8.1025,2392,2035.7,36.448,28.9175,NA,NA,NA,63.26,0.336647,0.107124
CAR-024,7,NA,NA,NA,NA,NA,8.1036,2391.74,2034.5,36.469,28.2695,NA,NA,NA,53.14,1.27118,0.12
CAR-025,1,0.28,0.03,0.15,0.29,2.16,8.0727,2428,2085.7,36.64,26.6382,68.0606,7.59345,NA,109,0.304547,0.174418
CAR-025,7,0,0.01,0.02,0.14,1.86,8.072,2429.08,2087.4,36.636,26.4892,75.5824,8.94021,NA,90.37,0.730465,0.167512
CAR-026,1,NA,NA,NA,NA,NA,8.0539,2408,2078.3,36.867,25.2874,178.354,18.0205,NA,504.4,5.82443,0.897788
CAR-026,7,NA,NA,NA,NA,NA,8.0474,2422.54,2095.5,36.865,24.7431,204.966,19.888,NA,1425,5.64851,0.754643
CAR-027,1,NA,NA,NA,NA,NA,8.0618,2416,2080.1,36.911,24.73,175.977,25.5836,NA,120.2,7.89066,0.634394
CAR-027,7,NA,NA,NA,NA,NA,8.0617,2416.13,2080.2,36.914,24.72,168.185,28.3847,NA,233.5,5.78202,0.672939
CAR-028,1,0.65,0,0,0.01,0,8.0783,2413,2066.5,36.951,25.8559,113.213,11.7647,NA,403.9,2.16897,0.372606
CAR-028,7,0.68,0.01,0,0.03,0,8.0773,2413.34,2067.5,36.945,25.86,131.141,14.0056,NA,NA,1.73911,0.390273
CAR-029,1,0.28,0.07,0.06,0.09,0,8.1234,2413,2037.2,36.849,22.7272,709.588,56.5826,NA,NA,31.6033,6.41782
