Cruise,Cruise_ID,Date,Mesh_Size,TOTAL_DENSITY,BIOMASS,COPEPODS,CHAETOGNATHA
71,CAR-071,2001-10-09,200,1112.64,26.8331,741.76,21.3969
71,CAR-071,2001-10-09,500,212.942,15.9475,160.22,7.75995
72,CAR-072,2001-11-06,500,13.4266,2.33661,5.61766,1.29485
72,CAR-072,2001-11-06,200,282.303,7.42849,197.284,7.51556
73,CAR-073,2001-12-11,200,572.647,5.59624,440.181,18.1009
73,CAR-073,2001-12-11,500,8.78655,0.714084,4.96766,0.636481
74,CAR-074,2002-01-10,200,499.383,10.24,329.141,3.24277
74,CAR-074,2002-01-10,500,104.94,4.93,31.63,2.23
75,CAR-075,2002-02-14,200,612.358,12.92,508.362,14.8548
75,CAR-075,2002-02-14,500,NA,NA,0,0
76,CAR-076,2002-03-12,500,29.04,5.47,18.86,0.49
76,CAR-076,2002-03-12,200,379.342,10.55,321.592,6.79419
77,CAR-077,2002-04-02,500,6.62,8.31,21.1,1.16
77,CAR-077,2002-04-02,200,571.588,8.71,466.09,4.1
78,CAR-078,2002-05-07,500,96.24,1.31,4.57,0.26
78,CAR-078,2002-05-07,200,246.677,4.5,219.71,0.332894
79,CAR-079,2002-06-12,200,312.87,10.63,285.137,4.17644
79,CAR-079,2002-06-12,500,16.16,4.54,70.6,6.81
80,CAR-080,2002-07-09,200,97.2282,1.4,77.9889,0.137344
80,CAR-080,2002-07-09,500,60,0.88,10.11,0.37
81,CAR-081,2002-08-06,200,1074.94,1.79,921.72,3.21
81,CAR-081,2002-08-06,500,142.88,1.28,34.44,2.88
82,CAR-082,2002-10-03,500,184.48,1.5,84.59,2.69
82,CAR-082,2002-10-03,200,2268.95,12.35,2051.51,23.6349
83,CAR-083,2002-11-07,200,779.043,4.76,735.993,0
83,CAR-083,2002-11-07,500,47.19,3.33,33.99,0.33
84,CAR-084,2002-12-05,500,41.34,1.9,17.14,3.67
84,CAR-084,2002-12-05,200,615.333,5.52,454.35,7.78887
85,CAR-085,2003-01-14,200,740.251,11.99,701.854,1.32425
85,CAR-085,2003-01-14,500,132.06,4.74,96.72,3.26
